host_id,id,earnings
1633304,2,8816
1633481,1,180
1638981,1,0
1641021,3,2060
1642180,1,17820
1657312,1,630
1659949,1,2030
1661612,1,24992
1673592,2,30675
1674931,1,0
1679671,1,42560
1683936,13,16252
1686710,2,7116
1687524,1,81120
1687623,1,3795
1688253,1,2950
1688385,1,1530
1688452,1,600
1691090,1,884
1693412,1,1260
1697782,3,32064
1703231,1,5130
1704649,1,812
1707035,2,34610
1711997,2,0
1712045,1,1170
1716315,7,51785
1722268,1,0
1722907,1,880
1722910,3,600
1724144,1,15207
1725307,2,28770
1727357,1,110
1729823,1,15824
1734577,1,0
1738696,1,10620
1743695,1,33580
1743923,2,1590
1744516,17,96906
1749048,1,450
1749907,18,481560
1750495,1,21948
1751133,1,139264
1753990,2,18480
1758916,1,240
1761853,1,120
1764288,1,18798
1765402,1,105
1766222,1,24000
1766283,4,17080
1771095,2,213460
1775455,1,1064
1778624,2,51180
1780871,1,165788
1785978,1,32400
1786501,1,20300
1788570,1,0
1791076,2,19420
1791366,1,150336
1791796,5,28200
1809119,1,5096
1809535,2,381217
1817464,1,140
1817722,2,57195
1818044,3,25960
1820272,6,379820
1823257,4,85
1824328,1,10440
1831724,1,0
1832474,1,7920
1837053,10,516770
1837622,1,3600
1838761,9,201997
1839136,1,85500
1839503,3,8768
1841335,1,14400
1853675,15,339880
1853874,1,36750
1862747,1,0
1867966,2,3546
1881106,1,6210
1890337,2,24255
1893397,1,0
1893978,2,18310
1894706,1,10260
1900247,2,20087
1902744,1,82038
1903257,1,0
1905887,1,0
1906719,1,21063
1906952,2,74085
1913755,1,1080
1915191,1,47520
1923383,1,2870
1924729,1,6600
1925028,1,0
1926968,2,21302
1929411,1,40
1930520,1,25620
1935498,2,37440
1963041,1,0
1968590,1,48930
1973151,1,0
1978032,1,52020
1980659,1,1200
1981748,1,1560
1984642,1,2400
1986299,20,296730
1988318,3,2284
1994100,3,36162
1994441,3,11115
1994739,1,1040
1995520,2,90
1998019,1,360
2001982,1,0
2004002,2,36100
2006133,2,23560
2009370,4,298338
2009899,1,24225
2012775,1,4455
2014393,3,2935
2030006,1,864
2032512,1,150
2034854,1,19650
2035951,1,1476
2036118,2,41062
2037915,1,52705
2041256,1,58080
2041639,1,0
2041901,14,319440
2053965,1,35490
2057471,2,7353
2059850,1,880
2060495,1,23760
2072631,2,3784
2074435,1,0
2074943,1,261900
2075504,1,13338
2081390,1,3200
2083075,3,237741
2098170,8,86030
2099961,1,0
2100232,1,6300
2105783,1,8910
2107488,2,11545
2108468,9,33160
2110700,1,27768
2110782,1,0
2114524,2,316840
2114929,2,10051820
2116153,1,64350
2123233,2,5200
2123239,2,3894
2125106,1,7110
2129970,1,36360
2142963,2,429846
2143926,2,15660
2151490,6,165772
2154038,1,2040
2161867,1,3978
2176121,2,21930
2176127,1,7140
2181314,1,50652
2181745,2,12672
2182310,1,200
2183341,1,616
2189222,3,10200
2196804,1,360
2199181,1,418
2201772,8,247680
2202284,8,84453
